ReferencedEpisodeId,ReferencingEpisodeId,ReferenceText
168,184,"Marshall will eventually hear back from the New York State Judicatory Committee in Something New, which will become a main plot point of Season 9."
168,169,Barney proclaiming to be done with Robin will be the focal point of Lobster Crawl.
58,57,"Barney finally confronts his saboteur (Abby, whom he slept with in Ten Sessions) in Everything Must Go."
58,63,"Barney finally confronts his saboteur (Abby, whom he slept with in Ten Sessions) in Everything Must Go."
58,86,"Barney is again seen with a list of his past sexual partners in Right Place, Right Time."
58,103,"Ted points out that Robin always laughs when she lies. She does this again in Rabbit or Duck, Girls Versus Suits, and The Best Man. Also, when Ted asks if she has ever fallen asleep eating ribs, she giggles when answering ""no"", and she is seen doing this while on sleep medication in Sorry, Bro."
58,100,"Ted points out that Robin always laughs when she lies. She does this again in Rabbit or Duck, Girls Versus Suits, and The Best Man. Also, when Ted asks if she has ever fallen asleep eating ribs, she giggles when answering ""no"", and she is seen doing this while on sleep medication in Sorry, Bro."
58,137,"Ted points out that Robin always laughs when she lies. She does this again in Rabbit or Duck, Girls Versus Suits, and The Best Man. Also, when Ted asks if she has ever fallen asleep eating ribs, she giggles when answering ""no"", and she is seen doing this while on sleep medication in Sorry, Bro."
58,80,"Ted points out that Robin always laughs when she lies. She does this again in Rabbit or Duck, Girls Versus Suits, and The Best Man. Also, when Ted asks if she has ever fallen asleep eating ribs, she giggles when answering ""no"", and she is seen doing this while on sleep medication in Sorry, Bro."
58,152,"When Lily suggests that Barney's lies are failing due to karma, Barney responds that ""Karma"" is stripping in Vegas, and that they're ""good"". In The Drunk Train, Quinn is revealed to be a stripper at the Lusty Leopard under the name ""Karma"". Since he doesn't appear to recognize her, the Karma he refers to here is likely a different person."
58,199,"Ted suggests that Barney isn't as a good a liar as he thinks, to which Barney responds that he would be in jail for perjury if that were true. Barney reveals in Unpause that his job at his company is taking the blame for their illegal activities."
140,141,"Robin has court mandated therapy with Kevin, which plays a main role in Field Trip."
126,127,"In Oh Honey, it is revealed that Barney wrote a letter to his father, and that he never responded. He eventually does in Legendaddy."
126,131,"In Oh Honey, it is revealed that Barney wrote a letter to his father, and that he never responded. He eventually does in Legendaddy."
126,128,Marshall continues to stay in Minnesota until Desperation Day.
126,152,"While Lily and her mother-in-law seem to resolve their issues, they still don't completely get along, as seen in The Drunk Train and Who Wants to Be a Godparent?."
126,164,"While Lily and her mother-in-law seem to resolve their issues, they still don't completely get along, as seen in The Drunk Train and Who Wants to Be a Godparent?."
138,139,Ted tells the gang about meeting Victoria in Ducky Tie.
138,158,"When Marshall makes a second sweeping declaration that he will never get drunk again, a flashforward reveals that he in fact will, at a craps table with Barney. This eventually occurs in Good Crazy."
138,167,"Garrison Cootes' partner, Honeywell, is introduced in The Stamp Tramp."
21,22,Marshall and Lily break up in Come On after a fight over her interview.
